,id_x,location,lat_x,long_x,description,category,created_at,image_filename,user,data_id,id_y,device_name,lat_y,long_y,pm_25,pm_10,no2,co,co2,ch4,temp,rh,data_created_time,date,month,AQI
61,793,Gurugram,28.3512069,77.0602053,Waste burn ,Waste Burning,2024-10-06 13:48:30.086208,IMG_20241005_195808.jpg,person 1,5566842,5566842,TARA085,28.351196,77.060425,86.6,143.4,18.5,0.96,,,35.7,45.0,2024-10-06 19:10:00,2024-10-06,2024-10,Moderate
62,797,Sector 7,28.4658505,77.0136183,Vehicle.polltuion,Vehicle Pollution,2024-10-09 03:38:32.846858,1000010711.jpg,person 14,5708031,5708031,TARA080,28.470356,77.015038,132.8,197.9,16.0,,1085.0,,34.4,50.0,2024-10-09 09:05:00,2024-10-09,2024-10,Unhealthy for Sensitive Groups
63,798,Gurugram,28.3635377,77.0598642,Construction incomplete near maruti kunj mode.   It's increase dust,Construction & Demolition Waste,2024-10-09 03:39:15.596782,IMG_20241009_090624.jpg,person 1,5708053,5708053,TARA085,28.361225,77.060448,294.6,552.1,41.0,1.43,,,31.0,55.0,2024-10-09 09:06:00,2024-10-09,2024-10,Very Unhealthy
64,799,Sector 45,28.4438057,77.0738947,Motorbike smoke,Vehicle Pollution,2024-10-09 05:12:35.706675,IMG_20241009_100636.jpg,person 28,5670705,5670705,TARA084,,,29.0,109.2,17.13,,596.0,,35.0,47.0,2024-10-08 15:54:00,2024-10-08,2024-10,Good
65,800,Sector 52,28.4455536,77.0776613,Waste burning ,Waste Burning,2024-10-09 06:49:57.980268,1000109461.jpg,person 22,5716000,5716000,TARA065,28.446312,77.077591,95.2,186.1,16.0,1.23,,,36.6,40.0,2024-10-09 12:18:00,2024-10-09,2024-10,Moderate
66,802,Gurugram,28.3563124,77.0701917,Burning of waste ,Waste Burning,2024-10-09 17:10:32.278940,1000063950.jpg,person 9,5688746,5688746,TARA067,28.356312,77.070015,94.3,133.0,15.0,1.18,,,33.9,47.0,2024-10-08 23:30:00,2024-10-08,2024-10,Moderate
67,803,Gurugram,28.3562732,77.0697763,Burning of waste ,Waste Burning,2024-10-09 17:12:22.870789,1000063952.jpg,person 9,5740844,5740844,TARA067,28.356113,77.070007,82.3,162.4,15.0,1.17,,,33.6,46.0,2024-10-09 22:37:00,2024-10-09,2024-10,Moderate
68,804,Gurugram,28.3562747,77.0697752,Burning of waste ,Waste Burning,2024-10-09 17:14:41.143871,20241006_200706.jpg,person 9,5740844,5740844,TARA067,28.356113,77.070007,82.3,162.4,15.0,1.17,,,33.6,46.0,2024-10-09 22:37:00,2024-10-09,2024-10,Moderate
69,805,Sector 45,28.4414234,77.0714079,Po,Waste Burning,2024-10-10 03:16:59.997012,1000050093.jpg,person 30,5762731,5762731,TARA095,28.437365,77.066788,494.1,36.2,43.0,1.57,,,33.0,46.0,2024-10-10 08:46:00,2024-10-10,2024-10,Hazardous
70,809,Sector 7,28.4627454,77.0107673,Too many Vehicle ,Vehicle Pollution,2024-10-11 07:07:22.127933,1000010709.jpg,person 14,5831534,5831534,TARA080,28.46278,77.010719,40.2,53.4,15.0,,597.0,,33.9,36.0,2024-10-11 12:36:00,2024-10-11,2024-10,Good
